Report_ID,Report_Date,NIBRS_Code_Name,NIBRS_Crime_Against,Service_Area,NIBRS_Group,Zip_Code,DateTime
54547509032,2024-03-02,Pornography/Obscene Material,SOCIETY,PRUE,Pornography/Obscene Material,78240,2026-09-01
49330515002,2023-05-02,Wire Fraud,PROPERTY,PRUE,Fraud Offenses,78240,2026-09-01
53887333630,2024-01-24,Fondling,PERSON,SOUTH,"Sex Offenses, Forcible",78242,2026-09-01
69576672426,2026-04-07,Hacking/Computer Invasion,PROPERTY,WEST,Fraud Offenses,78245,2026-09-01
55715639121,2024-04-28,Pornography/Obscene Material,SOCIETY,WEST,Pornography/Obscene Material,78245,2026-09-01
53966109453,2024-01-30,Theft From Coin-Operated Machine or Device,PROPERTY,WEST,Larceny/Theft Offenses,78245,2026-09-01
71921272090,2026-07-30,Wire Fraud,PROPERTY,WEST,Fraud Offenses,78245,2026-09-01
67203227832,2025-11-05,Fondling,PERSON,NORTH,"Sex Offenses, Forcible",78247,2026-09-01
70522891096,2026-05-18,Pornography/Obscene Material,SOCIETY,NORTH,Pornography/Obscene Material,78247,2026-09-01
57163750458,2024-06-25,Wire Fraud,PROPERTY,NORTH,Fraud Offenses,78247,2026-09-01
63470214027,2025-04-04,Wire Fraud,PROPERTY,NORTH,Fraud Offenses,78247,2026-09-01
69433064995,2026-03-27,Wire Fraud,PROPERTY,NORTH,Fraud Offenses,78247,2026-09-01
59706788546,2024-09-29,Pocket-picking,PROPERTY,PRUE,Larceny/Theft Offenses,78249,2026-09-01
52803192948,2023-10-26,Pornography/Obscene Material,SOCIETY,PRUE,Pornography/Obscene Material,78249,2026-09-01
67626387915,2025-12-01,Pornography/Obscene Material,SOCIETY,PRUE,Pornography/Obscene Material,78249,2026-09-01
58933679734,2024-09-12,Wire Fraud,PROPERTY,PRUE,Fraud Offenses,78249,2026-09-01
47176124308,2023-03-21,Fondling,PERSON,PRUE,"Sex Offenses, Forcible",78250,2026-09-01
39357620785,2023-01-16,Pornography/Obscene Material,SOCIETY,PRUE,Pornography/Obscene Material,78250,2026-09-01
62276959820,2025-01-15,Stolen Property Offenses,PROPERTY,PRUE,Stolen Property Offenses,78250,2026-09-01
63666289364,2025-04-22,Wire Fraud,PROPERTY,PRUE,Fraud Offenses,78250,2026-09-01
69662382781,2026-04-13,Wire Fraud,PROPERTY,PRUE,Fraud Offenses,78250,2026-09-01
70748674557,2026-05-26,Wire Fraud,PROPERTY,PRUE,Fraud Offenses,78250,2026-09-01
52444113389,2023-09-26,Fondling,PERSON,WEST,"Sex Offenses, Forcible",78251,2026-09-01
71082821267,2026-06-20,Fondling,PERSON,WEST,"Sex Offenses, Forcible",78251,2026-09-01
72084110826,2026-08-10,Fondling,PERSON,WEST,"Sex Offenses, Forcible",78251,2026-09-01
58121279322,2024-08-04,Wire Fraud,PROPERTY,WEST,Fraud Offenses,78251,2026-09-01
52485520936,2023-10-02,"Human Trafficking, Involuntary Servitude",PERSON,SOUTH,Human Trafficking,78252,2026-09-01
60868549744,2024-11-18,Arson,PROPERTY,PRUE,Arson,78254,2026-09-01
54605725343,2024-03-06,"Human Trafficking, Commercial Sex Acts",PERSON,PRUE,Human Trafficking,78254,2026-09-01
55982955191,2024-05-07,Pornography/Obscene Material,SOCIETY,PRUE,Pornography/Obscene Material,78254,2026-09-01
70459239930,2026-05-14,Pornography/Obscene Material,SOCIETY,PRUE,Pornography/Obscene Material,78257,2026-09-01
57533589753,2024-07-11,Embezzlement,PROPERTY,NORTH,Embezzlement,78258,2026-09-01
50058335174,2023-05-23,Pornography/Obscene Material,SOCIETY,NORTH,Pornography/Obscene Material,78258,2026-09-01
63919384732,2025-05-09,Pornography/Obscene Material,SOCIETY,NORTH,Pornography/Obscene Material,78259,2026-09-01
61911195484,2024-12-18,Wire Fraud,PROPERTY,NORTH,Fraud Offenses,78259,2026-09-01
20323239762,2023-03-07,Negligent Manslaughter,PERSON,SOUTH,Homicide Offenses,78264,2026-09-01
51344891074,2023-07-09,Sodomy,PERSON,SOUTH,"Sex Offenses, Forcible",Not Listed,2026-09-01
58298275301,2024-08-11,Pornography/Obscene Material,SOCIETY,SOUTH,Pornography/Obscene Material,Out of Jurisdiction,2026-09-01
51549975822,2023-08-28,Arson,PROPERTY,CENTRAL,Arson,78201,2026-09-01
68413234977,2026-02-04,Embezzlement,PROPERTY,DOWNTOWN,Embezzlement,78201,2026-09-01
64107538328,2025-05-23,Fondling,PERSON,WEST,"Sex Offenses, Forcible",78201,2026-09-01
65559705360,2025-08-22,Impersonation,PROPERTY,WEST,Fraud Offenses,78201,2026-09-01
54590677548,2024-03-05,Pornography/Obscene Material,SOCIETY,WEST,Pornography/Obscene Material,78201,2026-09-01
70000808090,2026-04-29,Stolen Property Offenses,PROPERTY,DOWNTOWN,Stolen Property Offenses,78201,2026-09-01
53456192796,2023-12-19,Pornography/Obscene Material,SOCIETY,EAST,Pornography/Obscene Material,78202,2026-09-01
51313550053,2023-07-05,Wire Fraud,PROPERTY,EAST,Fraud Offenses,78203,2026-09-01
63374302324,2025-03-28,Hacking/Computer Invasion,PROPERTY,SOUTH,Fraud Offenses,78204,2026-09-01
65610317560,2025-08-26,Fondling,PERSON,DOWNTOWN,"Sex Offenses, Forcible",78205,2026-09-01
68571562250,2026-02-15,Fondling,PERSON,DOWNTOWN,"Sex Offenses, Forcible",78205,2026-09-01
70670763630,2026-05-25,Murder & Nonnegligent Manslaughter,PERSON,DOWNTOWN,Homicide Offenses,78205,2026-09-01
68907961057,2026-03-05,Stolen Property Offenses,PROPERTY,DOWNTOWN,Stolen Property Offenses,78205,2026-09-01
53710511617,2024-02-06,Arson,PROPERTY,CENTRAL,Arson,78207,2026-09-01
51410579332,2023-07-17,Fondling,PERSON,CENTRAL,"Sex Offenses, Forcible",78207,2026-09-01
53592932485,2023-12-30,Fondling,PERSON,CENTRAL,"Sex Offenses, Forcible",78207,2026-09-01
54018905832,2024-02-03,Fondling,PERSON,CENTRAL,"Sex Offenses, Forcible",78207,2026-09-01
53901699517,2024-01-26,Murder & Nonnegligent Manslaughter,PERSON,CENTRAL,Homicide Offenses,78207,2026-09-01
54650341998,2024-03-11,Pornography/Obscene Material,SOCIETY,CENTRAL,Pornography/Obscene Material,78207,2026-09-01
69478738718,2026-03-31,Pornography/Obscene Material,SOCIETY,CENTRAL,Pornography/Obscene Material,78207,2026-09-01
67912951268,2025-12-23,Prostitution,SOCIETY,CENTRAL,Prostitution Offenses,78207,2026-09-01
62286501069,2025-01-16,Purchasing Prostitution,SOCIETY,CENTRAL,Prostitution Offenses,78207,2026-09-01
71726947151,2026-07-18,Purchasing Prostitution,SOCIETY,CENTRAL,Prostitution Offenses,78207,2026-09-01
41119324208,2023-01-23,Sexual Assault With An Object,PERSON,CENTRAL,"Sex Offenses, Forcible",78207,2026-09-01
61961044427,2024-12-22,Stolen Property Offenses,PROPERTY,CENTRAL,Stolen Property Offenses,78207,2026-09-01
65065260899,2025-07-22,Stolen Property Offenses,PROPERTY,CENTRAL,Stolen Property Offenses,78207,2026-09-01
51918041401,2023-08-16,Wire Fraud,PROPERTY,CENTRAL,Fraud Offenses,78207,2026-09-01
51354833445,2023-07-10,Fondling,PERSON,NORTH,"Sex Offenses, Forcible",78209,2026-09-01
53394308786,2023-12-13,Fondling,PERSON,NORTH,"Sex Offenses, Forcible",78209,2026-09-01
